Comment,Likes,Time,Author
Baca artikel selengkapnya di tautan ini: https://www.bbc.com/indonesia/articles/cj4npvqdq78o,86,2 bulan yang lalu,@BBCNewsIndonesia
"Kalau dampaknya masyarakat sipil yg berpendidikan  tinggi TDK dpt jabatan,sedangkan TNI  SDH punya gajih kok masih mau mengisi jabatan sipil.",0,21 jam yang lalu,@wayansuarta121
"Dampaknya melindungi nya, dengan memberikan jabatan di berbagai tempat termasuk di sipil,,,,dasar pemimpin penakut dan bodoh",0,1 hari yang lalu,@dewasutedja2261
"Yang nganggur masih banyak oy,kasihlah yang laen kesempatan",0,10 hari yang lalu,@nikearela7033
Mungkin..hanya ..TNI ..yg msh menyala  sampai saat ini....hidup prabiwao..hidup rakyat....!,0,2 minggu yang lalu,@tarsonkslksl5601
"Smoga aja yang jagain kejagung orang2 jujur biar tidak ada suap menyuap, intervensi dan hal lainnya",0,3 minggu yang lalu (diedit),@maungsiliwangi9
"TNI Sekarang Banyak Yang Tidak Berpihak Pada Rakyat Indonesia, Lebih Berpihak Pada Orang Asing 👎👎",0,1 bulan yang lalu,@akuaku3544
"baikny Tni fokus untuk kemanan negara yakni dlm pertahanan negara , jika tni masuk bergabung dlm ranah sipil yakni dlm sistim  pemerintahan mngkin akan beda cerita, jelas asmosfer mngkin akan berbeda ,cara perlakuan pemikiran tentara dan sipil akan jauh berbeda...",0,1 bulan yang lalu,@binsarbutarbutar745
sepertinya yang di rugikan masyarakatt menengah ke atas...,0,1 bulan yang lalu,@IwanHermawan-bt9rj
menurut saya baguslah TNI masuk kepemerintahan.,0,2 bulan yang lalu,@herdiansyahsianipar6413
"BAGUS DONG TNI DI LIBATKAN , KOLABORASI , SAYA SETUJU , BERSINERGI , KOMPAK, SOLID , NEGARA LEBIH AMAN , LEBIH KEPADA BERSIH , MANUSIAWI , BERWIBAWA❤❤❤❤ GBU ALL TNI & POLRI",0,2 bulan yang lalu,@YosepPatiasina
Si omon geblek,0,2 bulan yang lalu,@valerossi545
Presidennya dari sipil negara hancur...,0,2 bulan yang lalu,@RadytaTama
Ngatasi itu  mudah sebenarnya  siapkan  pangser 100 unit  diapkan  truk  berisi  para  intrigator  dan auditor   siapkan truk angkut arsip  di tiap tiap fraksi  dak komisi  serta di swkjend  dpr ri   paling tidak  1500.bidang  keuangan bidang prodak hukum  bidang pertambangan bidang  pendidikan dll.  Kerja  maraton  dan ada  yang bagian lidik  di rumahnua  kalaunitu selesai ke para mantan  anggota dpr ri   selesai kirimnke kejagung  siapnproses  hukum maju sidang. Baru nyasar  di di penegakan  hukum  baru nyasar  ke  bumn   barunnyasar  dinkementerian  baru nyasar  ke  bawah  propinsi  barunnyasar ke  kabupatennkota  dannitunkerja  maraton.. Baru ke bawah.  Wah  lumpuh  swmwntara  di hendel  tni  polri  yang bersih.,0,2 bulan yang lalu,@hasmonosaptowijoyo6968
Ada  Dampak  memang karena   untuk  membenahi   cancut mawutnya  pemerintahan.,0,2 bulan yang lalu,@hasmonosaptowijoyo6968
Selamat kpd rakyat yg memilih presiden.😂😂,0,2 bulan yang lalu,@iswanwahyu5664
"sebagai rakyat Kami pee'rcaya.lanjutkan pak presiden.
yng demo itu maha sewa bayaran.
ya sperti biasa",0,2 bulan yang lalu,@jonputra6064
Bagus seperti zaman suharto Tni di karyakan jadi bupati gubernur walikota rakyat aman pembangunan daera seperti sekarang repormasi apa hebat nya rakyat banyak yg mengeluh korupsi di mana2,0,2 bulan yang lalu,@Sardini-rp3ud
Kalau masyarakat takut TNI itu ga. Masuk akal semua kalau lawan negara ga. Benar sama polisi pun takut benar ga. Siapa takut kalau ga. Salah jangan buat alasan masyarakat takut,0,2 bulan yang lalu,@jaka0778
"Dampak nya ialah, wajib meliter 😂",0,2 bulan yang lalu,@FerdiBastian-r9i
Gua ga salah pilih pemimpin?,7,2 bulan yang lalu,@akputra-hr1hz
​ @akputra-hr1hz Prabowo kan mantan TNI..,0,2 bulan yang lalu,@JosonyTulandi
"Disahkan dibulan ramadhan agar yang mau unjuk rasa puasa

Hidup Sipil",9,2 bulan yang lalu,@IRWANHAMID1122
