author,published_at,updated_at,like_count,text,video_id
@fadhlyfsyafrudin5360,2025-06-11T13:29:08Z,2025-06-11T13:29:08Z,0,"Keren kak tifaraa,sangat relate dengan mahasiswa adm publik",HZW0RCfzFFE
@jaluramdanmahendra,2025-06-11T07:50:34Z,2025-06-11T07:50:34Z,0,Yok melek yok bagaimana pelaksanaan kebijakan publik yang bener 🙌,HZW0RCfzFFE
@maulidameilanadewi1410,2025-06-11T05:30:17Z,2025-06-11T05:30:17Z,0,"thanksss ilmunya kka, sedang belajar kebijakan publik banget",HZW0RCfzFFE
@Abdulmuhidkaya,2025-06-11T04:36:19Z,2025-06-11T04:36:19Z,0,"Pemerintah,Daerah, Provinsi dan Pusat: owalah ternyata gtu cara bikin kebijakan tak kira cuman ngangguk2 j ketika diundang rapat",HZW0RCfzFFE
@lokisablenk8191,2025-06-10T15:57:30Z,2025-06-10T15:57:30Z,0,"Jadi gini, 11:52 suara kita dilindungi dan dibutuhkan oleh undang-undang👍",HZW0RCfzFFE
@sibayiajaib3954,2025-06-10T11:16:36Z,2025-06-10T11:18:39Z,0,"mangkanya saya sekarang cenderung tidak mengkritik kepada pengeritik, letak masalah di negeri ini memang rakyatnya bukan pemerintahnya.
kritik yang saya maksud bukan ""kritik"" secara harpiah tapi bunyi retakan tulang kering atau leher akibat dari hantaman tinju atau benda tumpul 👍👍✊✊",HZW0RCfzFFE
@kasamago,2025-06-10T07:28:32Z,2025-06-10T07:28:32Z,0,"Kritik itu bentuk perhatian dan keluhan... 
Agar yg dikritik mikir",HZW0RCfzFFE
@dewadurja,2025-06-10T02:49:24Z,2025-06-10T02:49:24Z,0,Min.. mohon di sematkan tautan untuk teori atau sumber yang di acu untuk materi di video ini... Terimakasih,HZW0RCfzFFE
@sidiqyogaprasetya,2025-06-09T15:11:17Z,2025-06-09T15:11:17Z,2,"Potong satu generasi di lembaga pemerintah bisa ga sih , sebel banget liat orang orang kolot buat kebijakan publik 😅",HZW0RCfzFFE
@lemahteles503,2025-06-09T11:11:11Z,2025-06-09T11:11:11Z,0,"Nice video. Apabila video ini ada terusannya, saran untuk menjelaskan terkait Evaluasi Ex-post dan Ex-ante. Ini ada kaitannya dengan implementasi dan juga evaluasi kebijakan, karena momen krusial policy success or failure salah satunya bergantung kepada proses yang ada dalam tahap ini.. bagaimana pemerintah mengeksekusinya kebijakan/program/kegiatan, bagaimana monitoring keberjalanan (ex-ante) kebijakan/program/kegiatan, dan bagaimana evaluasi kinerja kebijakan/program/kegiatan terhadap outcome yang diinginkan (ex-post).",HZW0RCfzFFE
@nurazizah9875,2025-06-09T10:23:52Z,2025-06-09T10:23:52Z,0,Materi begini udh makanan sehari-hari bapak Anies,HZW0RCfzFFE
