video_id,title,channel,published_at
HZW0RCfzFFE,Bagaimana Kebijakan Publik Dibuat?,MALAKA,2025-06-05T11:34:39Z
CnwNiDu9s7Q,NALAR Ep. 01. KEBIJAKAN PUBLIK (1/2),NALAR INSTITUTE,2020-09-18T12:00:13Z
WeNvCZ2ND0Q,Masyarakat Harus Melek Kebijakan Publik! Jangan Mau Dirugikan,METRO TV ,2023-05-22T10:35:58Z
fQrOuJd5RPg,Pemerintahan Jokowi Dinilai Inkonsisten dalam Pembuatan Kebijakan Publik,Kompas.com,2022-02-23T05:55:35Z
qPuDTJhWJxM,"Pengamat Kebijakan Publik: Swasta Kalau Libur Bersama Potong Cuti, Itu Pelanggaran HAM | IBF tvOne",tvOneNews ,2025-06-04T14:27:38Z
haHWuowMhBE,Litbang Kompas: Survei pada Kinerja Pemerintahan Jokowi-Maruf Menurun,KOMPASTV,2022-11-18T03:56:19Z
P0uahUXyZU4,CAPAIAN KINERJA PEMERINTAH TAHUN 2022,CNN Indonesia,2022-10-21T04:35:55Z
pMZKzg2uJaM,"Survei Litbang Kompas Kinerja Pemerintahan Jokowi-Ma&#39;ruf: di Bulan Mei 70,1 Persen Responden Puas!",KOMPASTV,2023-05-22T13:31:10Z
1ezgI8nGkCY,"Sejumlah Lembaga Survei Nilai Kinerja Pemerintahan Jokowi-Maruf, Bagaimana Hasilnya?",KOMPASTV,2021-10-19T15:08:18Z
LevIfWOrlfI,Apakah Masyarakat Indonesia Puas Dengan Kinerja Pemerintah Selama Pandemi?,Asumsi,2020-07-24T10:30:39Z
UW9hT6lPErU,"Izin Tambang di Raja Ampat Tak Dicabut, Siapa Pemilik PT Gag Nikel?",Kompas.com,2025-06-11T06:25:26Z
QDAD0rH-5WQ,Menteri ESDM Bahlil Beberkan Alasan Izin Tambang PT Gag Nikel di Raja Ampat Tak Dicabut,KOMPASTV,2025-06-10T23:46:46Z
LfY7yjVwbIg,Bahlil Beberkan Alasan Izin Tambang PT Gag Nikel di Raja Ampat Tak Dicabut,Kompas Tv Bangka,2025-06-11T09:39:29Z
8MXZjJ56iMo,"Tok, 4 Izin Tambang Nikel di Raja Ampat Dicabut - [Zona Bisnis]",METRO TV ,2025-06-11T04:26:49Z
GNwYDsS-_LQ,Presiden Prabowo Cabut Izin Tambang di Raja Ampat,CNN Indonesia,2025-06-11T06:00:10Z
L23b3UU1BqE,Izin Tambang Dicabut di Raja Ampat: PT GAG Nikel Lolos?,KompasTV Jember,2025-06-10T08:33:03Z
s9ZT5pLETVc,7 Mahasiswa Makassar Desak Semua Izin Tambang di Raja Ampat Dicabut,Tribun Timur,2025-06-10T16:20:23Z
QMQTdZoCKLo,"PT GN Dapat Izin Khusus Tambang di Raja Ampat, KLHK dan ESDM Ungkap Kondisi Terkini",Tribun Timur,2025-06-09T06:16:03Z
